@!,date,label,index,@_bands.amt,@_bands.rate,,,,,
@?,,,,,,,,,,
@#,19900604,historic,1,20700,0.25,,,,,
@#,19900604,historic,2,@+big,0.4,,,,,
@#,19910604,historic,1,23700,0.25,,,,,
@#,19910604,historic,2,@+big,0.4,,,,,
@#,19920604,historic,1,2000,0.2,,,,,
@#,19920604,historic,2,23700,0.25,,,,,
@#,19920604,historic,3,@+big,0.4,,,,,
@#,19930604,historic,1,2500,0.2,,,,,
@#,19930604,historic,2,23700,0.25,,,,,
@#,19930604,historic,3,@+big,0.4,,,,,
@#,19940604,historic,1,3000,0.2,,,,,
@#,19940604,historic,2,23700,0.25,,,,,
@#,19940604,historic,3,@+big,0.4,,,,,
@#,19950604,historic,1,3200,0.2,,,,,
@#,19950604,historic,2,24300,0.25,,,,,
@#,19950604,historic,3,@+big,0.4,,,,,
@#,19960604,historic,1,3900,0.2,,,,,
@#,19960604,historic,2,25500,0.24,,,,,
@#,19960604,historic,3,@+big,0.4,,,,,
@#,19970604,historic,1,4100,0.2,,,,,
@#,19970604,historic,2,26100,0.23,,,,,
@#,19970604,historic,3,@+big,0.4,,,,,
@#,19980604,historic,1,4300,0.2,,,,,
@#,19980604,historic,2,27100,0.23,,,,,
@#,19980604,historic,3,@+big,0.4,,,,,
@#,19990604,historic,1,1500,0.1,,,,,
@#,19990604,historic,2,28000,0.23,,,,,
@#,19990604,historic,3,@+big,0.4,,,,,
@#,20000604,historic,1,1520,0.1,,,,,
@#,20000604,historic,2,28400,0.22,,,,,
@#,20000604,historic,3,@+big,0.4,,,,,
@#,20010604,historic,1,1880,0.1,,,,,
@#,20010604,historic,2,29400,0.22,,,,,
@#,20010604,historic,3,@+big,0.4,,,,,
@#,20020604,historic,1,1920,0.1,,,,,
@#,20020604,historic,2,29900,0.22,,,,,
@#,20020604,historic,3,@+big,0.4,,,,,
@#,20030604,historic,1,1960,0.1,,,,,
@#,20030604,historic,2,30500,0.22,,,,,
@#,20030604,historic,3,@+big,0.4,,,,,
@#,20040604,historic,1,2020,0.1,,,,,
@#,20040604,historic,2,31400,0.22,,,,,
@#,20040604,historic,3,@+big,0.4,,,,,
@#,20050604,historic,1,2090,0.1,,,,,
@#,20050604,historic,2,32400,0.22,,,,,
@#,20050604,historic,3,@+big,0.4,,,,,
@#,20060604,historic,1,2150,0.1,,,,,
@#,20060604,historic,2,33300,0.22,,,,,
@#,20060604,historic,3,@+big,0.4,,,,,
@#,20070604,historic,1,2230,0.1,,,,,
@#,20070604,historic,2,34600,0.22,,,,,
@#,20070604,historic,3,@+big,0.4,,,,,
@#,20080604,historic,1,34800,0.2,,,,,
@#,20080604,historic,2,@+big,0.4,,,,,
@#,20090604,historic,1,37400,0.2,,,,,
@#,20090604,historic,2,@+big,0.4,,,,,
@#,20100604,historic,1,37400,0.2,,,,,
@#,20100604,historic,2,@+big,0.4,,,,,
